# Closure addresses of the returns under `output/`.
# One row per driver. `closure` is taken over the driver source, every source file of the
# crate it lives in, and that crate's manifest — so it moves if anything that could change
# what the driver returns moves. `CLAUDE.md` §0 lesson 1's second half.
# `producer` is `ORPHAN` when no driver in the tree bears the directory's name: that is a
# return the tree cannot reproduce, and it is reported rather than skipped.
driver	producer	closure	sources
the_causal_boundary_ports_cultivate_one_athena_successor_with_causal_residuals_mem6	ORPHAN	-	0
the_causal_boundary_ports_cultivate_one_athena_successor_with_closure_mem6	ORPHAN	-	0
the_causal_boundary_ports_cultivate_one_athena_successor_with_exact_projective_factor_currents_mem6	ORPHAN	-	0
the_causal_boundary_ports_cultivate_one_athena_successor_with_factor_conditioned_residuals_mem6	ORPHAN	-	0
the_causal_boundary_ports_cultivate_one_athena_successor_with_native_factor_residuals_mem6	ORPHAN	-	0
the_causal_boundary_ports_cultivate_one_athena_successor_with_world_tube_seams_mem6	ORPHAN	-	0
the_causal_residual_athena_returns_unchanged_mem6_boundary	ORPHAN	-	0
the_code_material_returns_its_world_line	soma/life/examples/the_code_material_returns_its_world_line.rs	d745a90a61e8f68042867fbe5e9df3f5e4888a3cc716d606902a962c322fac0d	180
the_complete_continuations_return_their_multiscale_defects	ORPHAN	-	0
the_complete_exchange_cultivates_before_the_brandon_receiver	ORPHAN	-	0
the_complete_exchange_enters_one_athena_ecology_before_returns_open_h2n	ORPHAN	-	0
the_complete_exchange_factor_cover_changes_and_remounts_one_athena_ecology_h3n	ORPHAN	-	0
the_complete_exchange_factor_cover_changes_and_remounts_one_athena_ecology_h3n_refused_contact_census	ORPHAN	-	0
the_complete_exchange_is_copresent_without_return_and_the_predecessors_do_not_change	ORPHAN	-	0
the_complete_exchange_partition_member_return_h2	ORPHAN	-	0
the_complete_exchange_returns_through_native_defects_h2	ORPHAN	-	0
the_complete_inherited_organs_cross_native_potential_complexes	soma/life/examples/the_complete_inherited_organs_cross_native_potential_complexes.rs	a1fb14fcc5c8c712924587f9eed90d139211be5e7b5536ca4517c8f7f11f1a9b	181
the_complete_laboratory_exchange_returns_for_athena_alpha	soma/life/examples/the_complete_laboratory_exchange_returns_for_athena_alpha.rs	482e4c57b40460083e667585fdbfe607c73d5ed62568e7ebe0f074d3fbcbb008	180
the_complete_native_reverse_word_recovers_the_k3_predecessor_h5	ORPHAN	-	0
the_conditioned_section_returns_after_detachment	soma/life/examples/the_conditioned_section_returns_after_detachment.rs	4cee8fe8ac364e38e68752bc4ba9a4bec082dc86a66f3e8312640114a4110c2d	180
the_conditioning_return_crosses_the_seal	soma/life/examples/the_conditioning_return_crosses_the_seal.rs	9e02c6a15009446f76104746cf2566de4bfdb2ca3b12ad254d87697042787523	180
the_contraction_is_tiled	ORPHAN	-	0
the_cultivated_factor_descends_through_its_receiver_history_support	ORPHAN	-	0
the_deposit_licenses_the_re_emission	soma/life/examples/the_deposit_licenses_the_re_emission.rs	0fd4cc5fb2e656d2aedcf41209ab44cf516b2de5f3868ab1c3ad76f7f6ec7ac8	180
the_direct_participant_returns_without_existential_alias_collapse_l5_repair	ORPHAN	-	0
the_dissection_shares_its_prefixes	ORPHAN	-	0
the_eight_node_parametron_rest_returns_athena_alpha	soma/life/examples/the_eight_node_parametron_rest_returns_athena_alpha.rs	addad97dc5c53a29340f0e20bc2389c4616ec244fe4d61b65b5e9b4fd250a2bd	180
the_emitted_successors_grow_the_parametron_coefficient_lattice	ORPHAN	-	0
the_exact_projective_athena_returns_unchanged_mem6_boundary	ORPHAN	-	0
the_exchange_receiver_histories_cross_actual_k3_pullbacks_l1	ORPHAN	-	0
the_exchange_return_cultivates_athena_gemma	ORPHAN	-	0
the_exchange_world_tube_retains_its_branches	soma/life/examples/the_exchange_world_tube_retains_its_branches.rs	51ad2b994d2934c3e07770c2e1558cd923c4c3ed3a6b379fe22a5c9d92f8a680	180
the_exterior_return_changes_the_later_current	soma/life/examples/the_exterior_return_changes_the_later_current.rs	629a372b4c4f283ae5dee6b3b43b8bafc8fc9da7bb7922d0c674abeaac84de3a	180
the_factor_complex_changes_the_same_body	ORPHAN	-	0
the_factor_conditioned_athena_returns_unchanged_mem6_boundary	ORPHAN	-	0
the_factored_receiver_history_complex_closes_on_the_actual_membrane_mem6	soma/life/examples/the_factored_receiver_history_complex_closes_on_the_actual_membrane_mem6.rs	85d7938305fc233810389b053d65508ad3214bd61f46dc2a5ccf43e3cf72689d	180
the_foreign_receiver_descends_into_athena_native_anatomy	ORPHAN	-	0
the_foreign_receiver_descends_into_athena_native_anatomy_k1	ORPHAN	-	0
the_foreign_section_carries_complex_parametron_current	ORPHAN	-	0
the_foreign_tower_descends_on_the_cultivated_reachable_section	ORPHAN	-	0
the_full_tower_emanates_through_an_addressed_continuation	ORPHAN	-	0
the_height_form_of_the_surface_is_exact	crates/holonic-engine/examples/the_height_form_of_the_surface_is_exact.rs	6b224304590fb3ccd45552e6bafbdf6c58b92dd276016c4536987d11716de51e	215
the_heterogeneous_ports_found_one_shared_phoenix_ecology	soma/life/examples/the_heterogeneous_ports_found_one_shared_phoenix_ecology.rs	aa6b08f980ad7160df5583a4c4fba16c73e13921c16aa5ec6a33d9021b5c92f0	182
the_inference_membrane_serves_the_native_body	ORPHAN	-	0
the_laboratory_chronology_cultivates_the_athena_mathematics_ecology	soma/life/examples/the_laboratory_chronology_cultivates_the_athena_mathematics_ecology.rs	1548525ed7b7e058c775c2193c500afc25fca627666b2239569795b7a3643c47	186
the_laboratory_holonics_mathematics_athena_variant_freezes	soma/life/examples/the_laboratory_holonics_mathematics_athena_variant_freezes.rs	10a3de27a21650a0555530b54fdf9874a55e1716c9fa3c6c2ea9c9b28fcf30b6	184
the_laboratory_mathematics_athena_unifies_native_inference_ocr_and_three_port_transport	soma/life/examples/the_laboratory_mathematics_athena_unifies_native_inference_ocr_and_three_port_transport.rs	118e7c8e0f69967465c1ca2c22f812f1589c58ac37f1874d45840114ea987fcf	185
the_laboratory_world_tube_returns_one_rank_four_cultivation_l5	ORPHAN	-	0
the_laboratory_world_tube_returns_one_rank_four_cultivation_l5_pre_post_rest_receiver	ORPHAN	-	0
the_layer_stays_on_the_card	ORPHAN	-	0
the_lift_returns_its_defect	ORPHAN	-	0
the_lifted_body_condenses_only_where_future_receivers_factor	ORPHAN	-	0
the_lifted_body_is_cultivated_and_the_delta_survives_native_rest	ORPHAN	-	0
the_lifted_native_rest_conducts_on_the_card	ORPHAN	-	0
the_material_current_crosses_every_cultivated_affine_cell_and_returns_its_section_l5	ORPHAN	-	0
the_material_current_crosses_every_cultivated_affine_cell_on_the_resident_card_l5	ORPHAN	-	0
the_material_derivation_recurs_until_the_requested_receiver_returns_or_obstructs	soma/life/examples/the_material_derivation_recurs_until_the_requested_receiver_returns_or_obstructs.rs	be3652442060d2b3d36cb9e3b67ac16de4ea82b8e2567f65709bab8769200e0f	184
the_material_faces_rebase_into_one_situated_athena_aperture_l3	soma/life/examples/the_material_faces_rebase_into_one_situated_athena_aperture.rs	0efac0a5720b52f212d73463c8f37c717a29cf48ec5a568417703b483eecded3	180
the_material_mouth_seals_the_declared_body	soma/life/examples/the_material_mouth_seals_the_declared_body.rs	bb26c0649cd7356c60f638a48987e8b3424e46f91f5d4417f950e5355a8999f1	180
the_mathematical_and_physical_faces_share_native_transport	soma/life/examples/the_mathematical_and_physical_faces_share_native_transport.rs	cbd80aefd77cfcdb3fc1b35060107cfc89ec65a57cdd5c69fc14f0e59383c6cc	186
the_mathematical_particle_is_an_addressed_passage	soma/life/examples/the_affine_swing_is_a_typed_mathematical_particle.rs	77be18d7261d79993d80a41812f1eb79ef552494a4d803498cbd75d0f9baa46d	187
the_mathematics_codec_excites_the_active_transport_cover	ORPHAN	-	0
the_mertens_function_is_the_euler_characteristic_of_the_prime_simplex	ORPHAN	-	0
the_morphology_derived_athena_interior_founds_exact_cross_contact_mem2	soma/life/examples/the_morphology_derived_athena_interior_founds_exact_cross_contact_mem2.rs	670099efd1bbd0e27171a808eb4758e8c5cb536f372099115f2cfc5a3ec97be8	180
the_native_anatomy_condenses_the_hot_potential_and_athena_returns	ORPHAN	-	0
the_native_anatomy_condenses_the_hot_potential_and_athena_returns_k1	ORPHAN	-	0
the_native_baseline_conducts	ORPHAN	-	0
the_native_codec_is_cultivated_and_returns_complete_mathematics	soma/life/examples/the_native_codec_is_cultivated_and_returns_complete_mathematics.rs	11999a36693b3c1b305766be7158c75d5b50114a4157eff6109a7c9662f7327f	185
the_native_deltas_glue_rest_and_change_later_continuation_h3	ORPHAN	-	0
the_native_factor_residual_athena_returns_unchanged_mem6_boundary	ORPHAN	-	0
the_native_radiation_precedes_three_inferred_participant_surfaces_mem5	soma/life/examples/the_native_radiation_precedes_three_inferred_participant_surfaces_mem5.rs	617f0cacb2477ee026fca5998f0858d915af4f880248198ad9cfec4700985900	180
the_native_standing_rebases_by_address_and_athena_returns	ORPHAN	-	0
the_native_standing_rebases_by_address_and_athena_returns_h1n	ORPHAN	-	0
the_native_standing_rebases_by_address_and_athena_returns_h1n_k1	ORPHAN	-	0
the_one_athena_ecology_listens_sees_speaks_forms_images_and_cultivates_sens6	soma/life/examples/the_one_athena_ecology_listens_sees_speaks_forms_images_and_cultivates_sens6.rs	bce536a6d8653ccde62c97ef0b55eee73217c6d4cab5cd8dd020cf631e2e3564	180
the_one_athena_membrane_receives_arbitrary_exterior_occurrences_mem1	soma/life/examples/the_one_athena_membrane_receives_arbitrary_exterior_occurrences_mem1.rs	dc48a95b1de73cee11f79f4570c97ad7788e3c8bf077b778e71fed591038aeee	180
the_one_athena_membrane_returns_the_integrated_receiver_family_mem6	soma/life/examples/the_one_athena_membrane_returns_the_integrated_receiver_family_mem6.rs	5e117720bb42f3546b509d5af99a408f632b5a2f07823906223ecb9f10a87ce4	180
the_one_connected_athena_native_ecology_returns_dependent_sections_k3	ORPHAN	-	0
the_one_connected_athena_native_ecology_returns_dependent_sections_k3_pre_neutral_testimony_language	ORPHAN	-	0
the_one_connected_athena_native_ecology_returns_dependent_sections_k3_refused_uncoupled_native_components	ORPHAN	-	0
the_open_athena_world_tube_recurs_and_returns_lawful_silence_sens3	soma/life/examples/the_open_athena_world_tube_recurs_and_returns_lawful_silence_sens3.rs	2d522c3bff7a8fa934cfb29eec532e98c1b1a8a7d49a3efb7b500b2d2cdd76f0	180
the_operation_survives_the_codec	soma/life/examples/the_operation_survives_the_codec.rs	cfe0727800318653ab910ebdd2bc60b9b564e0617c7d95180a0aa227db090a50	180
the_optical_holons_grow_across_scales	soma/life/examples/the_optical_holons_grow_across_scales.rs	34d959819d6a232ecde538e2fd44c17ac57e860e6cd759c9a7279d14a27def1a	183
the_ordinary_material_crosses_one_native_relational_potential_and_brandon_returns_h4	ORPHAN	-	0
the_ordinary_material_crosses_the_cultivated_athena_ecology_and_brandon_returns_h4	ORPHAN	-	0
the_ordinary_material_crosses_the_cultivated_athena_ecology_and_brandon_returns_h4_refused_duplicate_body_construction	ORPHAN	-	0
the_ordinary_material_crosses_the_cultivated_athena_ecology_and_brandon_returns_h4_refused_expanded_passage_receipt	ORPHAN	-	0
the_ordinary_material_crosses_the_cultivated_athena_ecology_and_brandon_returns_h4_refused_expanded_recurrence_rest	ORPHAN	-	0
the_ordinary_material_crosses_the_cultivated_athena_ecology_and_brandon_returns_h4_refused_frames_disagree	ORPHAN	-	0
the_ordinary_material_crosses_the_cultivated_athena_ecology_and_brandon_returns_h4_refused_full_world_remount_bound	ORPHAN	-	0
the_ordinary_material_crosses_the_cultivated_athena_ecology_and_brandon_returns_h4_refused_global_serial_recurrence	ORPHAN	-	0
the_ordinary_material_crosses_the_cultivated_athena_ecology_and_brandon_returns_h4_refused_host_conditioning_bound	ORPHAN	-	0
the_ordinary_material_crosses_the_cultivated_athena_ecology_and_brandon_returns_h4_refused_repeated_canonicalization	ORPHAN	-	0
the_ordinary_material_crosses_the_cultivated_athena_ecology_and_brandon_returns_h4_refused_single_process_aperture	ORPHAN	-	0
the_parametron_receiver_history_rest_returns_athena_alpha	ORPHAN	-	0
the_participant_returns_through_one_non_dominated_barycentric_causal_front_l5	ORPHAN	-	0
the_partition_is_typed_and_the_reduction_is_a_junction	crates/holonic-engine/examples/the_partition_is_typed_and_the_reduction_is_a_junction.rs	f2a7f789578ddfb58260f3f273247e4cbb85551591ca227eee6b31a53c54f26e	215
the_perspective_return_changes_one_emanating_athena_body_l4	soma/life/examples/the_perspective_return_changes_one_emanating_athena_body.rs	d9fdc45e1826ef4ffc40e3f068426db8afd3602e48730374588c0b16822fbfc4	180
the_perspective_return_changes_one_emanating_athena_body_l4_counterexample_global_passive_surface	ORPHAN	-	0
the_phoenix_boundary_closes_before_athena_conducts	ORPHAN	-	0
the_phoenix_rebirth_is_graded	ORPHAN	-	0
the_physical_fold_returns_as_an_exact_constraint_complex	soma/life/examples/the_physical_fold_returns_as_an_exact_constraint_complex.rs	ea32adfc10c649ca34b0f7391e0daa50356f0bb05bbe38bb2b28565ad90773e1	186
the_physical_realization_passage_closes_over_every_successor_word	soma/life/examples/the_realization_passage_closes_over_every_successor_word.rs	4497a47a9346b9b381ec348a1cf75877169ba11f5b64a8999bc5edda1eda7121	180
the_primes_are_heard_through_the_zeros	crates/relational-geometry/examples/the_primes_are_heard_through_the_zeros.rs	385da93b0c3df0cbb356b7b1a543e80ff7352d1695467c867b30c20df3e0fd86	12
the_reborn_body_is_dissected	ORPHAN	-	0
the_receiver_history_congruence_replaces_the_trigram_table	soma/life/examples/the_receiver_history_congruence_replaces_the_trigram_table.rs	c3d65030303a95bcd8dae484288c5f0c44e290425ebc58153bcc3678c2a5ec39	180
the_receiver_history_quotient_condenses_and_athena_alpha_speaks	ORPHAN	-	0
the_recurrent_boundary_returns_a_complete_passage	ORPHAN	-	0
the_recurrent_realizations_condense_into_a_phoenix_ecology	soma/life/examples/the_recurrent_realizations_condense_into_a_phoenix_ecology.rs	28a015fc5c3567c799f76e9ff84246c852a211d0f980bb0a744730f5edc71387	180
the_reductions_expose_their_words	ORPHAN	-	0
