path	lines	DOCS_R0_inbound_sources	classification	current_guide_or_consumer_owner	immutable_revision_coordinate	audit_evidence_and_required_citation_action
archive/experiments/2026-09-05-tied-next-arrival/README.md	24	5	unique experiment fixture	docs/plans/THE_NATIVE_HNA_FOUNDS_CONTEXTUAL_TRANSPORT_BEFORE_INHERITANCE.md; research/records/2026-09-05_NCF0_RECEIVER_TRANSPORT_KEEPS_ITS_DOMAIN_AND_ORIENTATION_IS_NOT_A_SCALAR_STATE.md; research/records/2026-09-05_HNP4_THE_NEXT_ARRIVAL_DEPOSITS_A_REUSABLE_CONTACT_AND_MATCHED_SELF_RETURN_IS_ZERO.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/experiments/2026-09-05-tied-next-arrival/README.md	README marks integration.patch against e92d24bc and three annotated Rust files as historical staged-draft fixtures; cited by NCF0/HNP4 and a Lean comment. Numerical/restart evidence is in HNP4 record, while the patch/source are needed only for reconstruction; replace these links with immutable 0e860129d1c8cece4295efa0c2695a003e87d0ee:<path> coordinates, and update the Lean comment before retiring.
archive/experiments/2026-09-05-tied-next-arrival/boundary_contact_hnp4.rs	112	0	unique experiment fixture	docs/plans/THE_NATIVE_HNA_FOUNDS_CONTEXTUAL_TRANSPORT_BEFORE_INHERITANCE.md; research/records/2026-09-05_NCF0_RECEIVER_TRANSPORT_KEEPS_ITS_DOMAIN_AND_ORIENTATION_IS_NOT_A_SCALAR_STATE.md; research/records/2026-09-05_HNP4_THE_NEXT_ARRIVAL_DEPOSITS_A_REUSABLE_CONTACT_AND_MATCHED_SELF_RETURN_IS_ZERO.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/experiments/2026-09-05-tied-next-arrival/boundary_contact_hnp4.rs	README marks integration.patch against e92d24bc and three annotated Rust files as historical staged-draft fixtures; cited by NCF0/HNP4 and a Lean comment. Numerical/restart evidence is in HNP4 record, while the patch/source are needed only for reconstruction; replace these links with immutable 0e860129d1c8cece4295efa0c2695a003e87d0ee:<path> coordinates, and update the Lean comment before retiring.
archive/experiments/2026-09-05-tied-next-arrival/boundary_restart_hnp4.rs	65	0	unique experiment fixture	docs/plans/THE_NATIVE_HNA_FOUNDS_CONTEXTUAL_TRANSPORT_BEFORE_INHERITANCE.md; research/records/2026-09-05_NCF0_RECEIVER_TRANSPORT_KEEPS_ITS_DOMAIN_AND_ORIENTATION_IS_NOT_A_SCALAR_STATE.md; research/records/2026-09-05_HNP4_THE_NEXT_ARRIVAL_DEPOSITS_A_REUSABLE_CONTACT_AND_MATCHED_SELF_RETURN_IS_ZERO.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/experiments/2026-09-05-tied-next-arrival/boundary_restart_hnp4.rs	README marks integration.patch against e92d24bc and three annotated Rust files as historical staged-draft fixtures; cited by NCF0/HNP4 and a Lean comment. Numerical/restart evidence is in HNP4 record, while the patch/source are needed only for reconstruction; replace these links with immutable 0e860129d1c8cece4295efa0c2695a003e87d0ee:<path> coordinates, and update the Lean comment before retiring.
archive/experiments/2026-09-05-tied-next-arrival/integration.patch	2411	0	unique experiment fixture	docs/plans/THE_NATIVE_HNA_FOUNDS_CONTEXTUAL_TRANSPORT_BEFORE_INHERITANCE.md; research/records/2026-09-05_NCF0_RECEIVER_TRANSPORT_KEEPS_ITS_DOMAIN_AND_ORIENTATION_IS_NOT_A_SCALAR_STATE.md; research/records/2026-09-05_HNP4_THE_NEXT_ARRIVAL_DEPOSITS_A_REUSABLE_CONTACT_AND_MATCHED_SELF_RETURN_IS_ZERO.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/experiments/2026-09-05-tied-next-arrival/integration.patch	README marks integration.patch against e92d24bc and three annotated Rust files as historical staged-draft fixtures; cited by NCF0/HNP4 and a Lean comment. Numerical/restart evidence is in HNP4 record, while the patch/source are needed only for reconstruction; replace these links with immutable 0e860129d1c8cece4295efa0c2695a003e87d0ee:<path> coordinates, and update the Lean comment before retiring.
archive/experiments/2026-09-05-tied-next-arrival/operative_boundary_contact.rs	464	0	unique experiment fixture	docs/plans/THE_NATIVE_HNA_FOUNDS_CONTEXTUAL_TRANSPORT_BEFORE_INHERITANCE.md; research/records/2026-09-05_NCF0_RECEIVER_TRANSPORT_KEEPS_ITS_DOMAIN_AND_ORIENTATION_IS_NOT_A_SCALAR_STATE.md; research/records/2026-09-05_HNP4_THE_NEXT_ARRIVAL_DEPOSITS_A_REUSABLE_CONTACT_AND_MATCHED_SELF_RETURN_IS_ZERO.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/experiments/2026-09-05-tied-next-arrival/operative_boundary_contact.rs	README marks integration.patch against e92d24bc and three annotated Rust files as historical staged-draft fixtures; cited by NCF0/HNP4 and a Lean comment. Numerical/restart evidence is in HNP4 record, while the patch/source are needed only for reconstruction; replace these links with immutable 0e860129d1c8cece4295efa0c2695a003e87d0ee:<path> coordinates, and update the Lean comment before retiring.
archive/implementations/2026-09-09-byte-field-cultivation/README.md	19	7	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/README.md	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_actuation_restart.rs	69	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_actuation_restart.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_causal_propagation.rs	62	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_causal_propagation.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_contextual_lift.rs	288	1	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_contextual_lift.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_contextual_return.rs	141	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_contextual_return.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_current_source.rs	167	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_current_source.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_internal_mode.rs	125	1	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_internal_mode.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_material.rs	673	2	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_material.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_text.rs	891	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_text.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_text/tests.rs	253	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/examples/alpha_text/tests.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/alpha.rs	13	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/alpha.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/alpha/checkpoint.rs	391	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/alpha/checkpoint.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/alpha/checkpoint/tests.rs	143	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/alpha/checkpoint/tests.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/alpha/material.rs	251	1	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/alpha/material.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/alpha/text_codec.rs	347	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/alpha/text_codec.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/alpha/text_session.rs	506	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/alpha/text_session.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/alpha/text_session/native_tests.rs	400	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/alpha/text_session/native_tests.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/native/field.rs	133	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/native/field.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/native/field/checkpoint.rs	134	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/native/field/checkpoint.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/native/field/tests.rs	308	0	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/crates/holonics-hna/src/native/field/tests.rs	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-09-byte-field-cultivation/docs/NATIVE_HNA.md	643	1	historical duplicate	docs/HNN_COMPOSITION.md; docs/ARCHITECTURE_MAP.md; docs/RUST_FRAMEWORK.md; docs/ATHENA.md; docs/NATIVE_HNA.md; docs/RETRACTIONS.md; crates/holonics-hna/README.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-09-byte-field-cultivation/docs/NATIVE_HNA.md	README identifies this as byte-identical removed source from e2e4bebb, outside Cargo discovery; current owners supersede the removed SDK wrapper and records retain the representation audit. Any historical declaration/file citation must become e2e4bebb3d33f7b70a07218a8003f8c7ad127892:<original path>; no source is currently imported or executed.
archive/implementations/2026-09-13-fitted-wave-adapter/README.md	14	1	unique experiment fixture	research/records/2026-09-13_CONDITIONED_PREDICTION_AND_DYNAMIC_INTERIOR_RETURN.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md; docs/plans/THE_EXACT_DEVICE_LAW_IS_CONSTRUCTED.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-13-fitted-wave-adapter/README.md	README identifies a withdrawn caller-configured wave path; adapter.patch is the removed delta against b823d5e8 and two snapshots retain an unused helper pair. Record preserves measured attempt files separately. Keep source fixtures recoverable by 0e860129d1c8cece4295efa0c2695a003e87d0ee:<path>; update any citation before fold.
archive/implementations/2026-09-13-fitted-wave-adapter/adapter.patch	804	0	unique experiment fixture	research/records/2026-09-13_CONDITIONED_PREDICTION_AND_DYNAMIC_INTERIOR_RETURN.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md; docs/plans/THE_EXACT_DEVICE_LAW_IS_CONSTRUCTED.md	0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/implementations/2026-09-13-fitted-wave-adapter/adapter.patch	README identifies a withdrawn caller-configured wave path; adapter.patch is the removed delta against b823d5e8 and two snapshots retain an unused helper pair. Record preserves measured attempt files separately. Keep source fixtures recoverable by 0e860129d1c8cece4295efa0c2695a003e87d0ee:<path>; update any citation before fold.
