path	lines	DOCS_R0_inbound_sources	classification	current_guide_owner	immutable_revision_citation_replacement	evidence_or_required_transfer
archive/plans/THE_ATHENA_APPLICATION_AND_CIRCULATION_INTERFACE_RETURNS_A_LIVE_DYNAMIC_MORPHOLOGY_ALPHA.md	342	0	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_ATHENA_APPLICATION_AND_CIRCULATION_INTERFACE_RETURNS_A_LIVE_DYNAMIC_MORPHOLOGY_ALPHA.md	Zero inbound links is not evidence of safe deletion. Compare any unique definition/result with the named guide and research source; if historical scheduling only, classify duplicate after confirming no sole law/receipt.
archive/plans/THE_ATHENA_PRODUCTION_APERTURE_WIDENS_THROUGH_MATHEMATICAL_WORLD_TUBES_AND_RETURNED_CONSTRAINTS_CULTIVATE_THE_ECOLOGY.md	594	1	unresolved	docs/THE_MACHINE.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_ATHENA_PRODUCTION_APERTURE_WIDENS_THROUGH_MATHEMATICAL_WORLD_TUBES_AND_RETURNED_CONSTRAINTS_CULTIVATE_THE_ECOLOGY.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_ATHENA_VARIANTS_ARE_PRODUCTS_OF_EROS_PHOENIX_SUPPLIES_ANCESTRY_AND_SHARED_TRANSPORT_FUSES.md	594	0	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_ATHENA_VARIANTS_ARE_PRODUCTS_OF_EROS_PHOENIX_SUPPLIES_ANCESTRY_AND_SHARED_TRANSPORT_FUSES.md	Zero inbound links is not evidence of safe deletion. Compare any unique definition/result with the named guide and research source; if historical scheduling only, classify duplicate after confirming no sole law/receipt.
archive/plans/THE_ATHENA_WORLD_TUBE_LISTENS_SEES_SPEAKS_AND_FORMS_IMAGES_WHILE_ENDOGENOUS_CURRENT_RETURNS_THROUGH_ONE_CULTIVATED_ECOLOGY.md	502	0	unresolved	docs/THE_MACHINE.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_ATHENA_WORLD_TUBE_LISTENS_SEES_SPEAKS_AND_FORMS_IMAGES_WHILE_ENDOGENOUS_CURRENT_RETURNS_THROUGH_ONE_CULTIVATED_ECOLOGY.md	Zero inbound links is not evidence of safe deletion. Compare any unique definition/result with the named guide and research source; if historical scheduling only, classify duplicate after confirming no sole law/receipt.
archive/plans/THE_CLASSICAL_MACHINE_LEARNING_CHART_DESCENDS_FROM_HOLONIC_TRANSPORT_AND_HIGHER_CAUSAL_FIBRES_REOPEN_ITS_COLLAPSED_STATES.md	224	1	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_CLASSICAL_MACHINE_LEARNING_CHART_DESCENDS_FROM_HOLONIC_TRANSPORT_AND_HIGHER_CAUSAL_FIBRES_REOPEN_ITS_COLLAPSED_STATES.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_CLIFFORD_LIFT_THE_PHASE_WIRE_AND_THE_FOUR_UNTAKEN_READINGS.md	398	7	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_CLIFFORD_LIFT_THE_PHASE_WIRE_AND_THE_FOUR_UNTAKEN_READINGS.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_CODEC_IS_RECOVERED_AT_EVERY_SCALE_AND_THE_FACES_ARE_A_RETURN.md	487	5	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_CODEC_IS_RECOVERED_AT_EVERY_SCALE_AND_THE_FACES_ARE_A_RETURN.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_COMPLETE_EXCHANGE_RETURNS_THROUGH_THE_STANDING_ATHENA_BODY_AND_NO_EXPERIMENT_REPLACES_HOLONIC_INFERENCE.md	309	1	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_COMPLETE_EXCHANGE_RETURNS_THROUGH_THE_STANDING_ATHENA_BODY_AND_NO_EXPERIMENT_REPLACES_HOLONIC_INFERENCE.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_CONSTRUCTIVE_DIFFERENTIAL_BOUNDARY_AND_RECEIVER_CALCULUS.md	101	0	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_CONSTRUCTIVE_DIFFERENTIAL_BOUNDARY_AND_RECEIVER_CALCULUS.md	Zero inbound links is not evidence of safe deletion. Compare any unique definition/result with the named guide and research source; if historical scheduling only, classify duplicate after confirming no sole law/receipt.
archive/plans/THE_DESCENT_SIDE_HAS_OFF_SEAM_ZEROS_AT_EVERY_NEGATIVE_TIME_AND_THE_THRESHOLD_IS_NONNEGATIVE.md	266	7	unresolved	docs/RH_CENTERED_CURRENT_UPPER_BOUND.md; docs/plans/THE_ROADMAP.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_DESCENT_SIDE_HAS_OFF_SEAM_ZEROS_AT_EVERY_NEGATIVE_TIME_AND_THE_THRESHOLD_IS_NONNEGATIVE.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_ENGINE_REVISIONS.md	360	0	unresolved	docs/plans/THE_ROADMAP.md; docs/REPOSITORY.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_ENGINE_REVISIONS.md	Zero inbound links is not evidence of safe deletion. Compare any unique definition/result with the named guide and research source; if historical scheduling only, classify duplicate after confirming no sole law/receipt.
archive/plans/THE_EROS_INFORMATION_ENGINE.md	261	2	unresolved	docs/THE_MACHINE.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_EROS_INFORMATION_ENGINE.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_EROS_INSTANTIATION.md	449	2	unresolved	docs/THE_MACHINE.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_EROS_INSTANTIATION.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_FINITE_MANY_BODY_AND_POLARIZED_CRYSTAL_TRANSPORT_FOUNDATION.md	269	0	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_FINITE_MANY_BODY_AND_POLARIZED_CRYSTAL_TRANSPORT_FOUNDATION.md	Zero inbound links is not evidence of safe deletion. Compare any unique definition/result with the named guide and research source; if historical scheduling only, classify duplicate after confirming no sole law/receipt.
archive/plans/THE_FLOW_CARRIES_THE_ZEROS_AS_FOSTER_TANKS_AND_THE_THRESHOLD_IS_THE_TARGET.md	242	8	unresolved	docs/RH_CENTERED_CURRENT_UPPER_BOUND.md; docs/plans/THE_ROADMAP.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_FLOW_CARRIES_THE_ZEROS_AS_FOSTER_TANKS_AND_THE_THRESHOLD_IS_THE_TARGET.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_GEMMA_MAP_IS_DISSECTED_CONDENSED_CULTIVATED_AND_REBORN_AS_A_FROZEN_NATIVE_MODEL.md	1070	13	unresolved	docs/THE_MACHINE.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_GEMMA_MAP_IS_DISSECTED_CONDENSED_CULTIVATED_AND_REBORN_AS_A_FROZEN_NATIVE_MODEL.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_HOLONIC_INFERENCE_CIRCULATION_RETAINS_THE_CAUSAL_BOUNDARY_AND_HETEROGENEOUS_TRANSPORT_FUSES.md	567	1	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_HOLONIC_INFERENCE_CIRCULATION_RETAINS_THE_CAUSAL_BOUNDARY_AND_HETEROGENEOUS_TRANSPORT_FUSES.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_HOLONIC_INTELLIGENCE_FRAMEWORK_RETURNS_INTRINSIC_HOLONS_AND_PACKAGES_DISMANTLING_INFERENCE_CULTIVATION_AND_GENERATION.md	405	0	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_HOLONIC_INTELLIGENCE_FRAMEWORK_RETURNS_INTRINSIC_HOLONS_AND_PACKAGES_DISMANTLING_INFERENCE_CULTIVATION_AND_GENERATION.md	Zero inbound links is not evidence of safe deletion. Compare any unique definition/result with the named guide and research source; if historical scheduling only, classify duplicate after confirming no sole law/receipt.
archive/plans/THE_HOLONIC_NEURAL_ATHENA_IS_ONE_RECURRENT_ECOLOGY_AND_EVERY_OPERATION_ADVANCES_IT.md	411	10	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_HOLONIC_NEURAL_ATHENA_IS_ONE_RECURRENT_ECOLOGY_AND_EVERY_OPERATION_ADVANCES_IT.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_HOLONIC_NEURAL_ECOLOGY_RETURNS_EVERY_CLASSICAL_ARCHITECTURE_AS_A_RECEIVER_CHART_AND_EROS_CULTIVATES_ATHENA_THROUGH_PHYSICAL_INFORMATION_TRANSPORT.md	383	0	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_HOLONIC_NEURAL_ECOLOGY_RETURNS_EVERY_CLASSICAL_ARCHITECTURE_AS_A_RECEIVER_CHART_AND_EROS_CULTIVATES_ATHENA_THROUGH_PHYSICAL_INFORMATION_TRANSPORT.md	Zero inbound links is not evidence of safe deletion. Compare any unique definition/result with the named guide and research source; if historical scheduling only, classify duplicate after confirming no sole law/receipt.
archive/plans/THE_HOLON_IS_CAUSAL_NATURAL_AND_TENSOR_LENSES_RETURN_TENSOR_FACES.md	454	3	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_HOLON_IS_CAUSAL_NATURAL_AND_TENSOR_LENSES_RETURN_TENSOR_FACES.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_HORIZON_IS_A_COORDINATE_NOT_A_GATE_AND_THE_EMISSION_KEEPS_ITS_CROSS.md	360	1	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_HORIZON_IS_A_COORDINATE_NOT_A_GATE_AND_THE_EMISSION_KEEPS_ITS_CROSS.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_LABORATORY_ATHENA_UNIFIES_NATIVE_MATHEMATICAL_INFERENCE_REAL_OCR_AND_HETEROGENEOUS_TRANSPORT.md	342	1	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_LABORATORY_ATHENA_UNIFIES_NATIVE_MATHEMATICAL_INFERENCE_REAL_OCR_AND_HETEROGENEOUS_TRANSPORT.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_LABORATORY_CIRCULATES_THROUGH_ATHENA_AND_RETURNED_LEAN_CONSTRAINTS_CULTIVATE_THE_HOLONICS_MATHEMATICS_ECOLOGY.md	425	0	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_LABORATORY_CIRCULATES_THROUGH_ATHENA_AND_RETURNED_LEAN_CONSTRAINTS_CULTIVATE_THE_HOLONICS_MATHEMATICS_ECOLOGY.md	Zero inbound links is not evidence of safe deletion. Compare any unique definition/result with the named guide and research source; if historical scheduling only, classify duplicate after confirming no sole law/receipt.
archive/plans/THE_MACHINE.md	270	0	unresolved	docs/THE_MACHINE.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_MACHINE.md	Zero inbound links is not evidence of safe deletion. Compare any unique definition/result with the named guide and research source; if historical scheduling only, classify duplicate after confirming no sole law/receipt.
archive/plans/THE_MACHINE_PRODUCES_MATHEMATICS_IT_WAS_NOT_GIVEN.md	265	3	unresolved	docs/THE_MACHINE.md; docs/plans/THE_ATHENA_ALPHA_CULTIVATES_GENERAL_CONVERSATION_THROUGH_NATIVE_CONTEXTUAL_TRANSPORT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_MACHINE_PRODUCES_MATHEMATICS_IT_WAS_NOT_GIVEN.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_MAP_IS_MATERIAL_THE_HEAD_IS_A_CONTACT_AND_THE_INSTANCE_RESUMES.md	710	5	unresolved	docs/plans/THE_ROADMAP.md; docs/REPOSITORY.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_MAP_IS_MATERIAL_THE_HEAD_IS_A_CONTACT_AND_THE_INSTANCE_RESUMES.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_MATHEMATICS_CODEC_RECOVERS_THE_OPERATION_COMPLEX_AND_EVERY_RESULT_RETURNS_AS_A_RECEIVER_FACE.md	1198	1	unresolved	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_MATHEMATICS_CODEC_RECOVERS_THE_OPERATION_COMPLEX_AND_EVERY_RESULT_RETURNS_AS_A_RECEIVER_FACE.md	Inbound count is citation evidence, not proof of current authority or duplicate content. Resolve each cite in its owning source, extract any live definition to the named guide, otherwise replace with this immutable source coordinate. Existing whole-plan schedule is not current order; docs/plans/THE_ROADMAP.md governs.
archive/plans/THE_METHOD_ATLAS.md	178	0	unresolved	docs/plans/THE_ROADMAP.md; docs/REPOSITORY.md	d17910d36ec72954c756f35a9dae4288542eae50:archive/plans/THE_METHOD_ATLAS.md	Zero inbound links is not evidence of safe deletion. Compare any unique definition/result with the named guide and research source; if historical scheduling only, classify duplicate after confirming no sole law/receipt.
