# Every numeric level authored inside a library organ, with its disposition.
#
# THE LAW: a level is either read off the material or declared by the caller. It is never
# authored inside the organ. See canon/THE_AUTHORED_LEVEL.md.
#
# MATERIAL  a fact that cannot vary; `why` names the theorem.
# ABI       hardware, wire format, or foreign interface.
# APERTURE  declared, returns its outside, and `why` states what would derive it.
# PIN       a contaminant; `why` carries the excision plan.
#
# Regenerate: python3 tools/authored_levels.py --write
# Verify:     python3 tools/authored_levels.py --check
disposition	owner	name	value	why
ABI	crates/holonic-engine/src/cuda_refine.rs	FUNCTION_MAX_THREADS_PER_BLOCK	0	CUdevice_attribute / CUfunction_attribute selector from cuda.h. ABI in the strict sense: the integer NAMES a question and a different value asks a different one.
ABI	crates/holonic-engine/src/cuda_relation.rs	DEVICE_MAX_GRID_DIM_X	5	CUdevice_attribute / CUfunction_attribute selector from cuda.h. This is ABI in the strict sense the disposition is for -- the integer NAMES a question and a different value asks a different one. It is the replacement for the launch-size constants excised 2026-08-10, whose ABI claim was false: those were answers, these are questions.
ABI	crates/holonic-engine/src/cuda_relation.rs	DEVICE_MAX_THREADS_PER_BLOCK	1	CUdevice_attribute / CUfunction_attribute selector from cuda.h. This is ABI in the strict sense the disposition is for -- the integer NAMES a question and a different value asks a different one. It is the replacement for the launch-size constants excised 2026-08-10, whose ABI claim was false: those were answers, these are questions.
ABI	crates/holonic-engine/src/cuda_relation.rs	DEVICE_WARP_SIZE	10	CUdevice_attribute / CUfunction_attribute selector from cuda.h. This is ABI in the strict sense the disposition is for -- the integer NAMES a question and a different value asks a different one. It is the replacement for the launch-size constants excised 2026-08-10, whose ABI claim was false: those were answers, these are questions.
ABI	crates/holonic-engine/src/cuda_relation.rs	GRADE_ITEMS_PER_THREAD	8	wire constant SHARED WITH THE KERNEL, not a launch level: kernels/exact_relation_support.cu blocks its grade pass by the same factor at :370 and :445, and nothing in the build links the two. Host and device must agree or the grade mapping is wrong. Excising it means emitting it into the kernel rather than choosing a different number.
ABI	crates/holonic-engine/src/derivation_curvature.rs	UNIT_RESPONSE	1	an index or identity element, not a level
MATERIAL	crates/holonic-engine/src/discrete_curvature.rs	FLAT_COORDINATION	6	A vertex of the flat triangular lattice has coordination 6, and the angular defect is measured against it. Theorem: six equilateral triangles tile 2\u03c0 exactly. This does not vary.
MATERIAL	crates/holonic-engine/src/leader_quadrature.rs	LEAST_INTEGER_RIDE_SCALE	2	THEOREM: the least integer strictly greater than one. declared_grain shows g < E/(d+1) is an OPEN bound naming an interval and no coarsest grain; the coarsest grain whose ride scale is a whole number of grains takes the least integer above one. Attainment and the non-riding open bound are both measured in the_declared_grain_rides_by_at_least_one_rank_step.
APERTURE	crates/holonic-engine/src/matroid_chow.rs	GROUND_APERTURE	9	Declared and refused past, and the Chow ring of a matroid grows super-exponentially in the ground set. To derive: the level follows from the caller\u2019s memory declaration, which should be supplied rather than assumed.
APERTURE	crates/holonic-engine/src/matroid_chow.rs	RANK_APERTURE	4	As GROUND_APERTURE.
MATERIAL	crates/holonic-engine/src/quintic_chart.rs	SOLVABLE_SYMMETRIC_DEGREE	4	THEOREM: Abel-Ruffini. S_n is solvable exactly for n <= 4; A_5 is simple and non-abelian. The one number in this organ that does not move with the degree, and lifting the degree pin is what made it visible.
APERTURE	crates/holonic-engine/src/surprisal.rs	LOG_SERIES_TERMS	64	A truncation of an exact series with a RETAINED remainder certificate. `exact_value.rs::SeriesTailCertificate` is the carrier and the remainder is an exact rational interval, so the outside IS returned. To derive: the terms needed follow from the requested enclosure width, which the caller should declare.
MATERIAL	crates/holonic-structure/src/keyed_atlas.rs	MAXIMUM_AVL_DEPTH	128	An AVL tree over a `usize`-indexed population has depth < 1.4405\u00b7log2(n+2); 128 exceeds any population addressable on a 64-bit carrier. Theorem, not a budget.
ABI	soma/abi/src/contact.rs	COMMAND	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/contact.rs	COMMAND_FORM	1	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/contact.rs	COMMAND_STOP	2	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/contact.rs	HEAD	2	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/contact.rs	LIVE	1	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/contact.rs	NODE	5	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/contact.rs	OUTPUT_LIVE	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/contact.rs	OUTPUT_SAME	1	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/emission.rs	DEED_KIND	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/emission.rs	DEED_POSITION	1	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/holon.rs	RETURN_BIRTH	1	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/holon.rs	RETURN_CONTINUED	2	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/holon.rs	SETTLEMENT_KIND	2	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/holon.rs	SETTLEMENT_RETURNED	1	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/holon.rs	SETTLEMENT_SILENT	2	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/holon.rs	SOURCE_CONTINUED	2	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/holon.rs	SOURCE_ENDED	3	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/holon.rs	SOURCE_STANDING	1	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	CONTACT_PRESENT	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	CONTROL_PARAMS	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	DIRECTED_FROM	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	EMANATION_CELLS	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	EVENT_FACE	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	PARAM_CARRIER_DEPTH	6	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	PARAM_CARRIER_MAX_DEPTH	7	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	PARAM_COMPLEX	13	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	PARAM_DIRECTED_EVENTS	11	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	PARAM_EMISSION_CAPACITY	9	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	PARAM_ENDING	4	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	PARAM_MOUNT	2	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	PARAM_OVERFLOW_CAPACITY	8	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	PARAM_OWN_CAPACITY	5	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	PARAM_RELATIONS	10	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	PARAM_SOURCE_GRAIN	12	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	PARAM_STANDING_AXIS	1	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	PARAM_WHOLE_DARK	3	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	RECEIVER_CHANNEL	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	REGIONAL_STATUS_COMPLETE	1	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	REGIONAL_STATUS_INVALID	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	REGIONAL_STATUS_QUERY_REFUSED	3	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	REGIONAL_STATUS_STRUCTURE	2	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STANDING_CELLS	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STANDING_ROW_FORM	1	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STANDING_ROW_GRIP	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STATE_CARRIER_DEPTH	6	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STATE_EMISSIONS	7	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STATE_OWN_AXIS	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STATE_OWN_LIVE	1	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STATE_THOUGHTS	8	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STATUS_COMPLETE	1	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STATUS_INVALID	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STATUS_KIND	0	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STATUS_REQUIRED_EMISSIONS	5	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STATUS_REQUIRED_OVERFLOW	4	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STATUS_REQUIRED_OWN	1	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STATUS_RESOURCE	3	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/live_event_cuda.rs	STATUS_STRUCTURE	2	wire-format discriminant or event tag at the declared foreign boundary; `soma/abi` IS the ABI
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_CONTROL_NODE_CAPACITY	3	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_CONTROL_PATHS	1	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_CONTROL_SUPPORT_CAPACITY	4	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_CONTROL_TOKENS	2	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_NODE_ACTIVE	7	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_NODE_DIVERGENT	6	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_NODE_FIRST_CHILD	2	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_NODE_FIRST_CONTINUATION	5	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_NODE_NEXT_SIBLING	3	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_NODE_OCCURRENCES	4	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_NODE_PARENT	0	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_NODE_TOKEN	1	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_OUTPUT_NODE_COUNT	2	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_OUTPUT_STATUS	0	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_OUTPUT_SUPPORT_COUNT	3	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_PATH_LEN	1	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_PATH_SOURCE	2	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_PATH_START	0	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_SUPPORT_NODE	0	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	PREFIX_SUPPORT_SOURCE	1	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	STATUS_COMPLETE	1	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	STATUS_INCOMPLETE	0	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	STATUS_INVALID	2	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_CONTROL_INPUTS	1	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_CONTROL_MATERIAL_SYMBOLS	2	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_CONTROL_OCCURRENCE_CAPACITY	5	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_CONTROL_STATE_CAPACITY	3	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_CONTROL_TRANSITION_CAPACITY	4	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_INPUT_MATERIAL	2	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_INPUT_SOURCE	1	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_INPUT_SYMBOL	0	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_OUTPUT_CLONES	7	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_OUTPUT_EXTENSIONS	6	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_OUTPUT_MATERIAL_TRANSITIONS	5	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_OUTPUT_OCCURRENCE_COUNT	4	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_OUTPUT_STATE_COUNT	2	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_OUTPUT_STATUS	0	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_OUTPUT_TRANSITION_COUNT	3	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_STATE_DIRECT_SOURCE	5	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_STATE_MAXIMUM_LENGTH	0	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_STATE_SPAN_LEN	7	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_STATE_SPAN_START	6	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_STATE_SUFFIX	1	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_STATE_TRANSITION_HEAD	4	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_TRANSITION_NEXT	3	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
ABI	soma/abi/src/morphological_condition_cuda.rs	SUFFIX_TRANSITION_STATE	0	wire-format index or status tag at the declared foreign boundary; `soma/abi` is the ABI. Each integer names a word position or state. All chart populations and capacities are read from the crossing material per launch, so none of these values governs semantic depth or extent.
